"RowID","ColID","SampleID"
"A","V1",NA
"A","V2",NA
"A","V3",NA
"A","V4",NA
"A","V5",NA
"A","V6",NA
"A","V7",NA
"A","V8",NA
"A","V9",NA
"A","V10",NA
"A","V11",NA
"A","V12",NA
"B","V1",NA
"B","V2",NA
"B","V3",NA
"B","V4",NA
"B","V5",NA
"B","V6",NA
"B","V7",NA
"B","V8",NA
"B","V9",NA
"B","V10",NA
"B","V11",NA
"B","V12",NA
"C","V1",NA
"C","V2",NA
"C","V3",NA
"C","V4",NA
"C","V5",NA
"C","V6",NA
"C","V7",NA
"C","V8",NA
"C","V9",NA
"C","V10",NA
"C","V11",NA
"C","V12",NA
"D","V1",NA
"D","V2",NA
"D","V3",NA
"D","V4",NA
"D","V5",NA
"D","V6",NA
"D","V7",NA
"D","V8",NA
"D","V9",NA
"D","V10",NA
"D","V11",NA
"D","V12",NA
"E","V1",NA
"E","V2",NA
"E","V3",NA
"E","V4",NA
"E","V5",NA
"E","V6",NA
"E","V7",NA
"E","V8",NA
"E","V9",NA
"E","V10",NA
"E","V11",NA
"E","V12",NA
"F","V1",NA
"F","V2",NA
"F","V3",NA
"F","V4",NA
"F","V5",NA
"F","V6",NA
"F","V7",NA
"F","V8",NA
"F","V9",NA
"F","V10",NA
"F","V11",NA
"F","V12",NA
"G","V1",NA
"G","V2",NA
"G","V3",NA
"G","V4",NA
"G","V5",NA
"G","V6",NA
"G","V7",NA
"G","V8",NA
"G","V9",NA
"G","V10",NA
"G","V11",NA
"G","V12",NA
"H","V1",NA
"H","V2",NA
"H","V3",NA
"H","V4",NA
"H","V5",NA
"H","V6",NA
"H","V7",NA
"H","V8",NA
"H","V9",NA
"H","V10",NA
"H","V11",NA
"H","V12",NA
